"ID"	"ControlType"	"ORGANISM"	"miRNA_ID"	"SPOT_ID"	"SPOT_ID_1"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"hsa-let-7a"	"hsa-let-7a"	0	"Homo sapiens"	"hsa-let-7a"	""	NA	10.3354591771429	10.3354591771429	140.376669485997	2.99018240825496e-16	2.11797808456702e-14	25.009626348247
"hsa-let-7g"	"hsa-let-7g"	0	"Homo sapiens"	"hsa-let-7g"	""	NA	9.73848343685714	9.73848343685714	133.951055976164	4.54407349794836e-16	2.11797808456702e-14	24.8374072919315
"hsa-let-7i"	"hsa-let-7i"	0	"Homo sapiens"	"hsa-let-7i"	""	NA	10.0373017885714	10.0373017885714	132.484328143243	5.01362663347697e-16	2.11797808456702e-14	24.7954571107437
"hsa-miR-103"	"hsa-miR-103"	0	"Homo sapiens"	"hsa-miR-103"	""	NA	10.4707017314286	10.4707017314286	131.663002308791	5.29996843611621e-16	2.11797808456702e-14	24.7715111776158
"hsa-miR-23a"	"hsa-miR-23a"	0	"Homo sapiens"	"hsa-miR-23a"	""	NA	10.3413356071429	10.3413356071429	131.657674933241	5.30188412281297e-16	2.11797808456702e-14	24.7713547731774
"hsa-miR-151-5p"	"hsa-miR-151-5p"	0	"Homo sapiens"	"hsa-miR-151-5p"	""	NA	9.264556079	9.264556079	130.88914561111	5.58648215006933e-16	2.11797808456702e-14	24.7486438051601
"hsa-miR-107"	"hsa-miR-107"	0	"Homo sapiens"	"hsa-miR-107"	""	NA	9.88927515357143	9.88927515357143	129.164698470115	6.2889806239664e-16	2.11797808456702e-14	24.6965953166562
"hsa-miR-22"	"hsa-miR-22"	0	"Homo sapiens"	"hsa-miR-22"	""	NA	10.6724411871429	10.6724411871429	129.145830495244	6.29719138094513e-16	2.11797808456702e-14	24.6960173479901
"hsa-miR-15b"	"hsa-miR-15b"	0	"Homo sapiens"	"hsa-miR-15b"	""	NA	10.6963231428571	10.6963231428571	128.357165946907	6.65129233139058e-16	2.11797808456702e-14	24.6716915562772
"hsa-miR-21"	"hsa-miR-21"	0	"Homo sapiens"	"hsa-miR-21"	""	NA	11.6773005	11.6773005	125.329260544034	8.23188187780184e-16	2.11797808456702e-14	24.5751787539148
