	GSM605087	GSM605088	GSM605089	GSM605090	GSM605091	GSM605092	GSM605113
ebv-miR-BART12	7.752794877	7.470098772	7.168710859	6.67510165	6.947792966	6.845546841	6.374044783
hsa-let-7a	10.32633078	10.19337344	10.29317891	10.33892885	10.55800824	10.34328001	10.29511401
hsa-let-7b	10.13370205	9.52382907	9.623389978	9.546462547	9.699736005	9.435402082	9.434155698
hsa-let-7c	7.866963728	7.197113446	7.251628631	7.26065611	7.486646945	7.206926102	7.101758341
hsa-let-7d	9.449278529	9.312192741	9.344643966	9.320727234	9.684603666	9.456348525	9.420212243
hsa-let-7d*	4.103732028	5.14197345	4.978814335	3.887773345	5.87006498	5.914672592	5.789339183
hsa-let-7e	9.243281796	7.428790606	8.552349888	7.931399739	7.805576495	7.595839665	7.5113278
hsa-let-7f	9.822076826	9.948910148	10.05259267	10.19549277	10.41685893	10.22387759	10.16519391
hsa-let-7g	9.636065519	9.65672347	9.727782061	9.719931234	9.955054809	9.7488084	9.725018565
hsa-let-7i	10.11679893	9.882835765	10.07899847	9.903992425	10.24371701	10.02612987	10.00864005
hsa-miR-1	4.485664542	3.136815082	2.763043309	4.88048105	5.727323205	5.535947479	5.378583126
hsa-miR-101	6.812894998	6.725525718	6.720824315	7.350053637	8.290377908	8.037494719	7.949335028
hsa-miR-103	10.64430999	10.37866216	10.42988924	10.26895324	10.68752379	10.43145344	10.45412026
hsa-miR-106a	5.650177739	5.348430465	5.382548215	5.329864482	5.780826846	5.526165832	5.51014109
hsa-miR-106b	9.037876865	8.911839992	9.047307193	9.206206841	9.720711893	9.446526498	9.470687218
hsa-miR-106b*	1.35928538	1.925305028	1.623171178	1.83805446	1.892528962	1.975271983	2.257652579
hsa-miR-107	10.01665998	9.820421111	9.816567081	9.741497895	10.1139308	9.871108978	9.84474023
hsa-miR-10a	4.838089796	5.565336166	5.396885869	5.226337897	5.762155151	5.533480394	5.478094021
hsa-miR-1225-3p	2.014062668	1.95434873	1.976655487	1.851800391	NA	2.054098092	2.199018523
hsa-miR-1225-5p	3.961117885	4.465878233	3.969470822	4.413440511	4.087643829	3.864608495	3.795615024
hsa-miR-1227	3.302444616	2.606423447	2.987765624	0.786081814	2.700172587	1.987104189	1.232673957
hsa-miR-1228	3.357297739	3.229170651	3.58011872	2.886352581	2.959312035	2.810763215	3.081983362
hsa-miR-1234	4.980966152	4.820249307	5.282990508	3.52223733	4.225747024	3.818731587	3.605878208
hsa-miR-1238	2.112854557	2.171259266	2.355452648	2.354551161	NA	1.970237538	2.418303777
hsa-miR-125a-3p	4.662787939	2.537277697	3.347353469	3.315552344	2.636912173	2.395209852	2.571199018
hsa-miR-125a-5p	8.769991851	6.786458452	8.298885429	7.230222762	7.319924531	7.041262921	7.012664693
hsa-miR-125b	4.746669748	5.039015408	5.004174468	4.614694684	4.862390474	4.58104961	4.558047131
hsa-miR-126	10.03505076	9.782584655	9.855404888	10.13524589	10.57719194	10.3647279	10.33166934
hsa-miR-126*	6.535592443	6.074225864	5.993834237	6.425232005	6.930289466	6.65950159	6.648764319
hsa-miR-127-3p	4.689373457	4.402425898	4.250560251	5.290758873	4.505041516	4.198266043	4.175597307
hsa-miR-128	6.26931785	6.065493052	6.111589283	6.225781443	6.656617264	6.389053721	6.358460793
hsa-miR-130a	9.466423412	9.200533441	9.535809438	9.798926717	10.19644444	9.94027261	9.899680314
hsa-miR-130b	7.951108525	7.611337821	7.886216731	7.931837968	7.954807571	7.686084247	7.712059145
hsa-miR-130b*	2.861560676	2.540727596	2.743642545	2.84413001	3.037517004	2.640377886	2.65889497
hsa-miR-132	4.488803771	4.073190722	4.025223111	4.233925329	4.419870198	4.13776797	4.14439425
hsa-miR-132*	2.477252431	1.910755103	1.984431442	2.166654253	2.388441637	1.995028151	2.07774886
hsa-miR-133b	5.134161804	3.334402094	3.043393229	4.872698019	5.525166045	5.28381268	5.246197415
hsa-miR-134	3.493758331	5.11408198	2.939235993	3.894103404	3.052915687	2.899177319	2.835598732
hsa-miR-136	4.94443851	5.051777237	4.919133852	6.51305057	6.818416833	6.512873964	6.520615237
hsa-miR-136*	2.258856796	2.745801887	2.639107328	4.274785185	3.862198106	3.707065579	3.600646422
hsa-miR-139-3p	3.583360593	2.693775467	2.792593535	3.374863673	4.187847049	4.056211657	4.12322676
hsa-miR-139-5p	6.685682404	5.117562582	5.350615656	6.352369781	6.934728216	6.664326109	6.601075215
hsa-miR-140-3p	7.368831679	6.935730303	6.927616728	6.988053339	7.507250903	7.222127967	7.207281927
hsa-miR-140-5p	7.884079399	7.93648144	7.781497527	8.111880072	8.609546276	8.357033829	8.42961147
hsa-miR-141	4.218851608	4.385623907	4.395058845	4.777626575	5.317443294	5.023669972	5.058618784
hsa-miR-142-3p	9.894441762	9.9466524	9.936506381	10.4668876	11.28619549	11.07251015	11.06191629
hsa-miR-142-5p	7.494046382	7.584056357	7.514870603	7.939654239	8.636367259	8.387319103	8.315918758
hsa-miR-143	3.98938952	3.974535726	3.796935334	4.777862194	4.311342602	4.080105331	4.038571071
hsa-miR-144	4.865393699	5.196572529	5.09281725	6.632141425	6.369918106	6.133263544	6.049327713
hsa-miR-144*	3.36836078	4.00349857	3.93887913	5.274326882	4.286481677	4.032178336	3.93725401
hsa-miR-145	5.894975673	5.115115422	5.098933066	5.76228406	5.624537227	5.388363717	5.284877454
hsa-miR-146a	9.046346237	8.4971721	8.516827124	8.327963025	8.956134338	8.721484959	8.654332567
hsa-miR-146b-5p	5.825312555	5.753626052	6.045372545	6.136032314	6.709003075	6.427659293	6.353656743
hsa-miR-148a	7.008649837	7.035286205	6.880406692	7.322675546	7.862705028	7.5920282	7.555863252
hsa-miR-148a*	1.530180396	0.799424276	0.074067971	0.894343647	1.532278212	0.997811731	1.183700707
hsa-miR-148b	7.42249324	7.094873646	7.092149686	7.299925737	7.712112831	7.443698791	7.381887872
hsa-miR-148b*	1.542988233	1.377720208	1.377021501	1.641188486	2.059852167	1.826375044	2.021117007
hsa-miR-150	6.157328501	6.266203847	6.942996932	6.776830771	7.721782915	7.462347039	7.466919536
hsa-miR-151-3p	8.347422146	8.191795406	8.260187743	8.059949408	8.347851037	8.135367459	8.199436717
hsa-miR-151-5p	9.279325243	9.227423619	9.217097491	9.19777678	9.457622236	9.221932918	9.250714266
hsa-miR-152	4.858408318	4.30905129	4.763591733	4.867872855	5.286502849	5.004670876	5.002952524
